受注No,受注日,得意先,得意先注文No,製品名１,製品名２,受注数量,単位,台数,受注金額,納期,納期返事,版区,入日,工程１－工程名,工程１－号機名,工程１－完了日,工程１－完了数,工程２－工程名,工程２－号機名,工程２－完了日,工程２－完了数,工程３－工程名,工程３－号機名,工程３－完了日,工程３－完了数,工程４－工程名,工程４－号機名,工程４－完了日,工程４－完了数,工程５－工程名,工程５－号機名,工程５－完了日,工程５－完了数,工程６－工程名,工程６－号機名,工程６－完了日,工程６－完了数,工程７－工程名,工程７－号機名,工程７－完了日,工程７－完了数,工程８－工程名,工程８－号機名,工程８－完了日,工程８－完了数,工程９－工程名,工程９－号機名,工程９－完了日,工程９－完了数,工程１０－工程名,工程１０－号機名,工程１０－完了日,工程１０－完了数,最終納品日,最終伝票No,納品金額,状態１,状態２
0000325701-000,2026/05/07,岡山フィルム㈲,ORD-82512,OPP 袋 100μ 青,,41000,枚,  0,112038,2026/07/10,2026/07/10,旧版,2026/05/18,印刷,2号機,2026/06/18 完,1980,ラミネート,Ｌ１号,2026/06/29 確,0,スリッター,６号機,2026/07/03 確,0,サイド,１５号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325702-000,2026/05/07,岡山フィルム㈲,ORD-99166,PET パウチ 300μ 銀,,106800,枚,  0,855731,2026/07/13,2026/07/13,旧版,,印刷,3号機,2026/07/01 確,0,ラミネート,Ｌ2号機,2026/07/02 確,0,スリッター,４号機,2026/07/06 確,0,サイド,１５号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325703-000,2026/05/07,岡山フィルム㈲,ORD-25014,NY チューブ 100μ クリア,,106800,枚,  0,814825,2026/07/13,2026/07/14,旧版,,印刷,3号機,2026/07/01 確,0,ラミネート,Ｌ2号機,2026/07/02 確,0,スリッター,４号機,2026/07/06 確,0,サイド,１５号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325704-000,2026/05/07,岡山フィルム㈲,ORD-80381,PE フィルム 300μ 透明,,160000,枚,  0,887352,2026/07/01,2026/07/17,旧版,,印刷,4号機,2026/06/22 確,0,ラミネート,Ｌ１号,2026/06/26 確,0,スリッター,２号機,2026/06/29 確,0,サイド,３号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325705-000,2026/05/07,岡山フィルム㈲,ORD-44973,CPP シート 100μ 黒,,160000,枚,  0,905934,2026/07/17,2026/07/22,旧版,,印刷,4号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/09 確,0,スリッター,４号機,2026/07/10 確,0,サイド,３号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325706-000,2026/05/07,岡山フィルム㈲,ORD-94012,EVOH テープ 300μ 青,,41000,枚,  0,456699,2026/07/17,2026/07/17,旧版,,印刷,3号機,2026/07/02 確,0,ラミネート,Ｌ１号,2026/07/07 確,0,スリッター,６号機,2026/07/08 確,0,サイド,１２号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325707-000,2026/05/07,浜松パッケージ,ORD-24621,AL トレー 100μ 銀,,24266,枚,  0,48469,2026/07/13,2026/07/13,旧版,,印刷,2-Ｆ号機,2026/06/26 確,0,サイド,６号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325708-000,2026/05/07,岡山フィルム㈲,ORD-66985,紙 ラベル 300μ クリア,,50857,枚,  0,265840,2026/07/22,2026/07/22,旧版,,印刷,5号機,2026/06/25 確,0,ラミネート,Ｌ2号機,2026/07/13 確,0,スリッター,３号機,2026/07/14 確,0,サイド,２０号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325709-000,2026/05/07,岡山フィルム㈲,ORD-69470,不織布 ロール 100μ 透明,,49714,枚,  0,103402,2026/07/22,2026/07/22,旧版,,印刷,5号機,2026/06/25 確,0,ラミネート,Ｌ2号機,2026/07/13 確,0,スリッター,４号機,2026/07/14 確,0,サイド,２０号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325710-000,2026/05/07,札幌プリント㈱,,透明 カップ 300μ 黒,,66415,枚,  0,857168,2026/06/03,2026/06/26,旧版,,印刷,2-Ｆ号機,2026/06/09 完,3950,ラミネート,Ｌ１号,2026/06/16 完,3910,スリッター,６号機,2026/06/19 確,0,サイド,１３号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325711-000,2026/05/07,広島商事(株),,OPP 袋 100μ 青,,350,ｍ,  0,44522,2026/05/26,,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,           未,0,ラミネート,Ｌ2号機,           未,0,ラミ２回目,Ｌ2号機,           未,0,スリッター,６号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325712-000,2026/05/07,広島商事(株),ORD-75612,PET パウチ 300μ 銀,,23280,ｍ,  0,898975,2026/06/18,,旧版,,印刷,2-Ｆ号機,           未,0,スリッター,５号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325713-000,2026/05/07,相模テック(株),ORD-33416,NY チューブ 100μ クリア,,19000,枚,  0,76542,2026/06/01,2026/06/08,無地,,カット大谷,大谷ｶｯﾄ,2026/06/05 完,19700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/08,348444,23947,,
0000325714-000,2026/05/07,広島商事(株),ORD-91959,PE フィルム 300μ 透明,,60800,枚,  0,412942,2026/06/18,,無地,,三方,１０号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325715-000,2026/05/07,浜松産業,,CPP シート 100μ 黒,,10000,枚,  0,93748,2026/06/11,2026/06/26,旧版,,印刷,2-Ｆ号機,2026/06/08 完,2460,サイド,２３号機,2026/06/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325716-000,2026/05/07,名古屋商事(株),ORD-76540,EVOH テープ 300μ 青,,1880,ｍ,  0,89818,2026/05/29,2026/07/07,新版,2026/06/01,印刷,1号機,2026/07/01 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325717-000,2026/05/07,姫路工業(有),,AL トレー 100μ 銀,,168000,枚,  0,308573,2026/06/12,2026/07/06,旧版,,印刷,1-Ｆ号機,2026/06/05 完,7930,ラミネート,Ｌ2号機,2026/06/11 完,7650,スリッター,３号機,2026/06/25 確,0,合掌,８号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325718-000,2026/05/07,名古屋サプライ(株),ORD-30032,紙 ラベル 300μ クリア,,7760,ｍ,  0,492077,2026/07/01,2026/07/01,旧版,,印刷,5-Ｆ号機,2026/06/24 確,0,スリッター,４号機,2026/06/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325719-000,2026/05/07,熊本プリント㈱,ORD-31174,不織布 ロール 100μ 透明,,7200,ｍ,  0,665579,2026/08/01,2026/08/01,旧版,,印刷,4号機,2026/07/27 確,0,ラミネート,Ｌ2号機,2026/07/29 確,0,スリッター,４号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325720-000,2026/05/07,岡山フィルム㈲,ORD-79514,透明 カップ 300μ 黒,,40000,枚,  0,100599,2026/07/17,2026/07/17,旧版,,印刷,4号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/08 確,0,スリッター,６号機,2026/07/09 確,0,サイド,１２号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325721-000,2026/05/07,岡山フィルム㈲,ORD-88504,OPP 袋 100μ 青,,42000,枚,  0,439902,2026/07/29,2026/07/29,旧版,,印刷,4号機,2026/07/13 確,0,ラミネート,Ｌ１号,2026/07/16 確,0,スリッター,６号機,2026/07/17 確,0,サイド,１４号機,2026/07/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325722-000,2026/05/07,浜松パッケージ,ORD-74042,PET パウチ 300μ 銀,,33523,枚,  0,120422,2026/06/04,2026/07/02,旧版,,印刷,2号機,2026/06/24 確,0,スリッター,３号機,2026/06/25 確,0,サイド,１４号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325723-000,2026/05/07,浜松パッケージ,ORD-24662,NY チューブ 100μ クリア,,26984,枚,  0,480612,2026/06/12,2026/07/16,旧版,,印刷,2号機,2026/06/04 完,1960,ラミネート,Ｌ１号,2026/06/15 完,1880,スリッター,６号機,2026/07/01 確,0,サイド,２９号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325724-000,2026/05/07,岡山フィルム㈲,ORD-50306,PE フィルム 300μ 透明,,54666,枚,  0,5017343,2026/06/22,2026/06/22,旧版,,印刷,1号機,2026/06/16 完,7700,ラミネート,Ｌ2号機,2026/06/17 完,7480,スリッター,６号機,2026/06/19 確,0,三方,製袋３その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325725-000,2026/05/07,広島サプライ(株),ORD-17592,CPP シート 100μ 黒,,3920,ｍ,  0,41571,2026/06/01,2026/06/05,旧版,,印刷,5-Ｆ号機,2026/06/03 完,3930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/08,348403,84364,,
0000325726-000,2026/05/07,姫路デザイン(有),,EVOH テープ 300μ 青,,9000,枚,  0,182582,2026/06/22,2026/06/22,改版,2026/05/25,印刷,3号機,2026/06/15 完,5000,サイド,２０号機,2026/06/17 完,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325727-000,2026/05/07,姫路デザイン(有),,AL トレー 100μ 銀,,12000,枚,  0,189814,2026/06/23,2026/06/23,改版,2026/05/25,印刷,1-Ｆ号機,2026/06/17 完,5910,サイド,２０号機,2026/06/19 完,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325728-000,2026/05/07,福岡メディア,,紙 ラベル 300μ クリア,,152400,枚,  0,867460,2026/06/05,2026/06/05,,,スリッター,４号機,2026/05/29 完,40000,サイド,５号機,2026/06/05 完,152400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/09,348512,609597,,
0000325729-000,2026/05/07,姫路デザイン(有),,不織布 ロール 100μ 透明,,9000,枚,  0,955662,2026/06/22,2026/06/22,改版,2026/05/25,印刷,3号機,2026/06/15 完,3780,サイド,２０号機,2026/06/18 完,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325730-000,2026/05/07,浜松パッケージ,ORD-19071,透明 カップ 300μ 黒,,10375,枚,  0,897549,2026/06/30,2026/07/15,旧版,,印刷,3号機,2026/06/16 完,1830,ラミネート,Ｌ2号機,2026/06/22 確,0,スリッター,６号機,2026/06/24 確,0,サイド,１７号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325731-000,2026/05/07,姫路加工(有),ORD-79822,OPP 袋 100μ 青,,4000,枚,  0,26483,2026/05/28,2026/07/03,旧版,,印刷,1-Ｆ号機,2026/06/08 完,1450,サイド,６号機,2026/06/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325732-000,2026/05/07,姫路加工(有),ORD-26828,PET パウチ 300μ 銀,,75200,枚,  0,791798,2026/06/18,2026/06/18,旧版,,印刷,1号機,2026/06/15 完,3720,スリッター,５号機,2026/06/16 完,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/18,348829,598369,,
0000325733-000,2026/05/07,姫路デザイン(有),,NY チューブ 100μ クリア,,11000,枚,  0,676510,2026/06/22,2026/06/22,改版,2026/05/26,印刷,3号機,2026/06/15 完,5760,サイド,２０号機,2026/06/18 完,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325734-000,2026/05/08,岡山印刷㈲,,PE フィルム 300μ 透明,,5000,枚,  0,3705,2026/07/23,2026/07/23,無地,,サイド,５号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325735-000,2026/05/08,相模テック(株),ORD-44741,CPP シート 100μ 黒,,20000,枚,  0,653306,2026/06/02,2026/06/26,旧版,,印刷,2号機,2026/06/17 完,1370,ラミネート,Ｌ１号,2026/06/17 完,1310,スリッター,６号機,2026/06/18 完,1300,サイド,２９号機,2026/06/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325736-000,2026/05/08,福岡メディア,ORD-89507,EVOH テープ 300μ 青,,31272,枚,  0,543692,2026/06/01,,旧版,,印刷,3号機,           削,0,スリッター,６号機,           削,0,サイド,１４号機,           削,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000325737-000,2026/05/08,札幌プリント㈱,ORD-37760,AL トレー 100μ 銀,,506666,枚,  0,665492,2026/07/14,2026/07/06,無地,,スリッター,３号機,2026/07/03 確,0,サイド,トヨパック,2026/07/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325738-000,2026/05/08,千葉印刷㈲,ORD-36365,紙 ラベル 300μ クリア,,30300,枚,  0,50857,2026/07/09,2026/07/14,旧版,,印刷,2-Ｆ号機,2026/07/06 確,0,スリッター,３号機,2026/07/07 確,0,サイド,２号機,2026/07/10 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325739-000,2026/05/08,千葉印刷㈲,ORD-62296,不織布 ロール 100μ 透明,,30300,枚,  0,98039,2026/07/10,2026/07/13,旧版,,印刷,2-Ｆ号機,2026/07/06 確,0,スリッター,３号機,2026/07/07 確,0,サイド,２号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325740-000,2026/05/08,姫路デザイン(有),,透明 カップ 300μ 黒,,12000,枚,  0,781446,2026/06/23,2026/06/23,改版,2026/05/26,印刷,3号機,2026/06/15 完,6680,サイド,２０号機,2026/06/19 完,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325741-000,2026/05/08,姫路デザイン(有),,OPP 袋 100μ 青,,5500,枚,  0,491559,2026/06/15,2026/06/15,改版,2026/05/26,印刷,5号機,2026/06/08 完,2920,サイド,２０号機,2026/06/10 完,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/18,348753,559381,,
0000325742-000,2026/05/08,相模テック(株),ORD-77839,PET パウチ 300μ 銀,,80000,枚,  0,573417,2026/05/25,2026/06/17,旧版,,印刷,2号機,2026/06/04 完,2870,ラミネート,Ｌ１号,2026/06/11 完,2810,スリッター,６号機,2026/06/16 完,2770,サイド,製袋その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325743-000,2026/05/08,岡山ラベル㈲,ORD-25860,透明 カップ 300μ 黒,,46560,ｍ,  0,359947,2026/07/14,2026/07/14,,,ラミネート,Ｌ2号機,2026/07/08 確,0,スリッター,３号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325744-000,2026/05/08,新潟加工(有),ORD-39451,NY チューブ 100μ クリア,,5700,ｍ,  0,167136,2026/06/12,2026/06/16,旧版,,印刷,1号機,2026/06/12 完,5840,スリッター,２号機,2026/06/15 完,5630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/16,348665,454508,,
0000325745-000,2026/05/08,広島テック(株),ORD-12757,PE フィルム 300μ 透明,,11640,ｍ,  0,716886,2026/05/28,2026/06/22,旧版,,印刷,1-Ｆ号機,2026/06/17 完,5950,スリッター,３号機,2026/06/19 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325746-000,2026/05/08,岡山フィルム㈲,ORD-82603,CPP シート 100μ 黒,,100000,枚,  0,341292,2026/07/15,2026/07/15,旧版,,印刷,3号機,2026/06/22 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,５号機,2026/06/26 確,0,サイド,１５号機,2026/07/02 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325747-000,2026/05/08,千葉印刷㈲,ORD-87128,EVOH テープ 300μ 青,,59016,枚,  0,330914,2026/06/24,2026/07/13,改版,2026/05/22,印刷,2-Ｆ号機,2026/07/06 確,0,スリッター,２号機,2026/07/07 確,0,サイド,２号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325748-000,2026/05/08,姫路デザイン(有),,AL トレー 100μ 銀,,7500,枚,  0,107540,2026/06/16,2026/06/16,改版,2026/05/27,印刷,5-Ｆ号機,2026/06/09 完,2880,サイド,２０号機,2026/06/10 完,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348732,174441,,
0000325749-000,2026/05/08,岡山フィルム㈲,ORD-92719,紙 ラベル 300μ クリア,,24000,枚,  0,161733,2026/07/13,2026/07/13,旧版,2026/05/20,印刷,3号機,2026/06/26 確,0,ラミネート,Ｌ１号,2026/06/29 確,0,スリッター,５号機,2026/07/02 確,0,サイド,１２号機,2026/07/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325750-000,2026/05/08,千葉印刷㈲,ORD-40007,不織布 ロール 100μ 透明,,30300,枚,  0,18834,2026/08/19,2026/08/19,改版,2026/07/01,印刷,2-Ｆ号機,2026/08/03 確,0,スリッター,３号機,2026/08/04 確,0,サイド,２号機,2026/08/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325751-000,2026/05/08,岡山フィルム㈲,ORD-14117,不織布 ロール 100μ 透明,,47466,枚,  0,446479,2026/06/01,2026/06/18,旧版,,印刷,2号機,2026/06/08 完,3940,ラミネート,Ｌ１号,2026/06/08 完,3900,スリッター,４号機,2026/06/11 完,3890,サイド,１４号機,2026/06/17 完,46700,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/22,348857,174299,,
0000325752-000,2026/05/08,岡山フィルム㈲,ORD-77391,透明 カップ 300μ 黒,,47466,枚,  0,349565,2026/06/01,2026/06/18,旧版,,印刷,2号機,2026/06/08 完,4000,ラミネート,Ｌ１号,2026/06/08 完,3900,スリッター,４号機,2026/06/10 完,3900,サイド,１４号機,2026/06/17 完,50000,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/22,348857,392004,,
0000325753-000,2026/05/08,岡山フィルム㈲,ORD-97684,OPP 袋 100μ 青,,32800,枚,  0,608993,2026/07/13,2026/07/13,旧版,2026/05/20,印刷,3号機,2026/07/01 確,0,ラミネート,Ｌ2号機,2026/07/02 確,0,スリッター,６号機,2026/07/06 確,0,サイド,１５号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325754-000,2026/05/08,埼玉製作所㈱,,PET パウチ 300μ 銀,,42000,枚,  0,324643,2026/06/17,2026/06/17,旧版,,印刷,1-Ｆ号機,2026/05/20 完,13890,ラミネート,Ｌ2号機,2026/05/27 完,13570,巻き直し,社内検品機１,2026/05/27 完,13520,スリッター,４号機,2026/05/29 完,13710,サイド,２１号機,2026/06/15 完,42000,,,,,,,,,,,,,,,,,,,,,2026/06/19,348792,665427,,
0000325755-000,2026/05/08,千葉フィルム㈲,ORD-27342,NY チューブ 100μ クリア,,10742,枚,  0,84847,2026/06/25,2026/07/10,無地,,サイド,６号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325756-000,2026/05/08,千葉印刷㈲,ORD-85525,PE フィルム 300μ 透明,,41379,枚,  0,71953,2026/07/09,2026/07/13,改版,2026/05/22,印刷,2-Ｆ号機,2026/07/06 確,0,スリッター,５号機,2026/07/07 確,0,サイド,２号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325757-000,2026/05/08,埼玉製作所㈱,,CPP シート 100μ 黒,,4000,枚,  0,41850,2026/06/17,2026/06/17,無地,,サイド,２３号機,2026/06/05 完,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348792,71993,,
0000325758-000,2026/05/08,姫路デザイン(有),,EVOH テープ 300μ 青,,11000,枚,  0,946721,2026/06/16,2026/06/16,改版,2026/05/27,印刷,5号機,2026/06/08 完,2880,サイド,２０号機,2026/06/10 完,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348732,526833,,
0000325759-000,2026/05/08,東京クリエイト㈱,ORD-34957,AL トレー 100μ 銀,,65000,枚,  0,198907,2026/05/22,2026/05/22,旧版,,印刷,5-Ｆ号機,2026/05/19 完,11880,スリッター,２号機,2026/05/20 完,11540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/25,347731,201639,,
0000325760-000,2026/05/08,姫路デザイン(有),,紙 ラベル 300μ クリア,,9000,枚,  0,790993,2026/06/16,2026/06/16,改版,2026/05/27,印刷,5-Ｆ号機,2026/06/09 完,3960,サイド,２０号機,2026/06/12 完,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348733,551989,,
0000325761-000,2026/05/08,広島商事(株),ORD-56438,不織布 ロール 100μ 透明,,23280,ｍ,  0,544154,2026/06/11,,旧版,,印刷,2-Ｆ号機,           未,0,スリッター,５号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325762-000,2026/05/08,相模商事(株),,透明 カップ 300μ 黒,,11160,ｍ,  0,531071,2026/05/29,2026/06/08,旧版,,印刷,3号機,2026/05/29 完,5930,ラミネート,Ｌ2号機,2026/06/03 完,5670,スリッター,３号機,2026/06/05 完,5570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325763-000,2026/05/08,岡山フィルム㈲,ORD-71213,OPP 袋 100μ 青,,10000,枚,  0,864491,2026/07/01,2026/07/01,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/14 完,1200,ラミネート,Ｌ2号機,2026/06/12 完,1150,スリッター,６号機,2026/06/23 確,0,サイド,１９号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325764-000,2026/05/08,相模商事(株),,PET パウチ 300μ 銀,,7200,ｍ,  0,156802,2026/05/29,2026/06/11,旧版,2026/05/18,印刷,1号機,2026/06/01 完,3820,ラミネート,Ｌ2号機,2026/06/09 完,3700,スリッター,３号機,2026/06/10 完,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325765-000,2026/05/08,姫路デザイン(有),,NY チューブ 100μ クリア,,12500,枚,  0,806073,2026/06/29,2026/06/29,改版,2026/05/28,印刷,5号機,2026/06/24 確,0,サイド,２０号機,2026/06/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325766-000,2026/05/08,新潟加工(有),ORD-95649,PE フィルム 300μ 透明,,3920,ｍ,  0,94696,2026/06/12,2026/06/12,無地,,スリッター,２号機,2026/06/04 完,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/12,348558,22899,,
0000325767-000,2026/05/08,姫路デザイン(有),,CPP シート 100μ 黒,,22500,枚,  0,163556,2026/06/18,2026/06/18,改版,2026/05/28,印刷,5号機,2026/06/08 完,9680,スリッター,３号機,2026/06/09 完,9560,サイド,２０号機,2026/06/11 完,22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/23,348835,522179,,
0000325768-000,2026/05/08,広島商事(株),ORD-54473,EVOH テープ 300μ 青,,11520,ｍ,  0,939482,2026/06/04,2026/06/08,無地,,ラミネート,Ｌ2号機,2026/06/04 完,3900,スリッター,３号機,2026/06/05 完,3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/09,348477,214576,,
0000325769-000,2026/05/08,福岡産業,ORD-42591,AL トレー 100μ 銀,,16761,枚,  0,35112,2026/06/17,2026/07/08,旧版,,印刷,4号機,2026/06/08 完,1960,スリッター,５号機,2026/07/02 確,0,サイド,５号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325770-000,2026/05/08,神戸加工(有),,紙 ラベル 300μ クリア,,2500,ｍ,  0,299448,2026/06/17,2026/06/17,改版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/14 完,1000,ラミネート,Ｌ2号機,2026/06/12 完,900,巻き直し,社内検品機１,2026/06/12 完,870,スリッター,２号機,2026/06/16 完,870,ｽﾘｯﾄ２回目,２号機,2026/06/16 完,750,,,,,,,,,,,,,,,,,,,,,2026/06/19,348799,662336,,
0000325771-000,2026/05/08,福岡産業,ORD-68800,不織布 ロール 100μ 透明,,14457,枚,  0,246991,2026/06/12,2026/07/07,旧版,,印刷,5号機,2026/06/04 完,3890,スリッター,４号機,2026/06/05 完,3850,サイド,６号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325772-000,2026/05/08,福岡産業,ORD-65296,透明 カップ 300μ 黒,,13233,枚,  0,34050,2026/05/29,2026/06/23,旧版,,印刷,4号機,2026/06/08 完,2000,スリッター,６号機,2026/06/18 完,1900,サイド,５号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325773-000,2026/05/08,広島商事(株),ORD-46509,OPP 袋 100μ 青,,11160,ｍ,  0,585100,2026/06/11,2026/06/26,旧版,,印刷,2-Ｆ号機,2026/06/03 完,3990,ラミネート,Ｌ2号機,2026/06/18 完,3860,スリッター,２号機,2026/06/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325774-000,2026/05/08,新潟工業(有),ORD-42742,PET パウチ 300μ 銀,,71111,枚,  0,179046,2026/07/29,2026/07/29,旧版,,印刷,3号機,2026/07/09 確,0,ラミネート,Ｌ2号機,2026/07/16 確,0,スリッター,５号機,2026/07/22 確,0,サイド,１５号機,2026/07/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325775-000,2026/05/08,川崎サプライ(株),,NY チューブ 100μ クリア,,7680,ｍ,  0,68082,2026/05/28,2026/06/04,旧版,,印刷,1-Ｆ号機,2026/06/02 完,3910,スリッター,５号機,2026/06/03 完,3910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/04,348388,82132,,
